cell_line_id,n_cells
CVCL_0546,6040371
CVCL_0459,5736238
CVCL_0480,4089586
CVCL_1285,3307302
CVCL_0399,3013246
CVCL_1056,2737714
CVCL_0023,2567838
CVCL_0334,2535736
CVCL_0293,2514625
CVCL_0428,2432647
CVCL_1119,2404632
CVCL_0359,2342982
CVCL_0131,2314134
CVCL_1693,2282536
CVCL_0152,2259176
CVCL_0371,2229643
CVCL_1550,2227663
CVCL_1381,2208183
CVCL_0504,2182314
CVCL_0320,2171036
CVCL_1478,2016991
CVCL_1097,1991252
CVCL_1517,1937218
CVCL_1717,1921742
CVCL_1495,1838530
CVCL_0397,1828299
CVCL_1547,1774330
CVCL_0332,1725286
CVCL_1731,1708896
CVCL_1635,1700099
CVCL_C466,1682310
CVCL_1666,1607552
CVCL_0069,1548711
CVCL_0366,1501700
CVCL_0292,1500121
CVCL_1094,1483268
CVCL_0218,1456805
CVCL_1055,1430114
CVCL_0179,1271918
CVCL_1098,1244192
CVCL_0099,1221708
CVCL_1239,1042066
CVCL_1724,954199
CVCL_0028,566078
CVCL_1125,537791
CVCL_1716,209283
CVCL_1715,149059
CVCL_1577,130245
CVCL_1531,28629
CVCL_1571,18340
