drug,cell_line_id,n_cells
DMSO_TF,CVCL_0546,139224
DMSO_TF,CVCL_0459,126345
DMSO_TF,CVCL_0480,95259
Adagrasib,CVCL_0546,93235
Adagrasib,CVCL_0459,85279
DMSO_TF,CVCL_1285,75431
DMSO_TF,CVCL_0399,67833
DMSO_TF,CVCL_1056,64417
Adagrasib,CVCL_0480,63439
DMSO_TF,CVCL_0023,60135
DMSO_TF,CVCL_0131,56447
DMSO_TF,CVCL_0359,56439
DMSO_TF,CVCL_0428,56383
DMSO_TF,CVCL_0334,55202
DMSO_TF,CVCL_0504,54386
DMSO_TF,CVCL_0293,54333
DMSO_TF,CVCL_1381,52427
DMSO_TF,CVCL_0371,51949
DMSO_TF,CVCL_0152,51407
DMSO_TF,CVCL_1119,51178
DMSO_TF,CVCL_0320,50552
DMSO_TF,CVCL_1693,50344
DMSO_TF,CVCL_1097,49119
DMSO_TF,CVCL_1550,48845
Adagrasib,CVCL_1285,48052
DMSO_TF,CVCL_1478,46867
Afatinib,CVCL_0546,46552
DMSO_TF,CVCL_1517,46472
Adagrasib,CVCL_0399,43845
DMSO_TF,CVCL_1547,43557
DMSO_TF,CVCL_1717,43500
DMSO_TF,CVCL_1495,42864
Afatinib,CVCL_0459,42754
Adagrasib,CVCL_1056,41807
DMSO_TF,CVCL_0397,41614
Almonertinib (mesylate),CVCL_0459,40029
DMSO_TF,CVCL_0332,39854
Adagrasib,CVCL_0334,39190
Almonertinib (mesylate),CVCL_0546,38594
DMSO_TF,CVCL_C466,38420
Adagrasib,CVCL_0023,38380
DMSO_TF,CVCL_1731,38161
DMSO_TF,CVCL_1635,37487
Adagrasib,CVCL_0428,37461
Binimetinib,CVCL_0459,36857
DMSO_TF,CVCL_0366,36803
Cytarabine,CVCL_0546,36771
Adagrasib,CVCL_1693,36759
Belumosudil,CVCL_0546,36622
DMSO_TF,CVCL_1666,36612
DMSO_TF,CVCL_0069,35843
Adagrasib,CVCL_1119,35709
DMSO_TF,CVCL_1055,35415
Adagrasib,CVCL_0293,35106
Adagrasib,CVCL_0359,34732
DMSO_TF,CVCL_1094,34685
Adagrasib,CVCL_0131,34647
Pravastatin (sodium),CVCL_0546,34625
Fumaric acid,CVCL_0546,34544
Adagrasib,CVCL_1381,34163
Fumaric acid,CVCL_0459,34121
DMSO_TF,CVCL_0292,34053
Adagrasib,CVCL_0504,34040
Cytarabine,CVCL_0459,33846
Adagrasib,CVCL_0371,33743
Adagrasib,CVCL_0320,33142
Flumatinib (mesylate),CVCL_0546,33121
Belumosudil,CVCL_0459,32650
Methylthiouracil,CVCL_0459,32500
Pravastatin (sodium),CVCL_0459,32425
Berbamine (dihydrochloride),CVCL_0546,32423
Flumatinib (mesylate),CVCL_0459,32359
DMSO_TF,CVCL_0218,32353
Topotecan (hydrochloride),CVCL_0546,32266
Adagrasib,CVCL_0152,32239
Binimetinib,CVCL_0546,32238
Adagrasib,CVCL_1550,31869
Daidzin,CVCL_0459,31765
Berbamine (dihydrochloride),CVCL_0459,31621
Daidzin,CVCL_0546,31356
Naproxen,CVCL_0546,31258
DMSO_TF,CVCL_0179,31009
Trametinib,CVCL_0459,30694
Adagrasib,CVCL_1478,30573
Trametinib,CVCL_0546,30495
Regorafenib,CVCL_0546,30455
Afatinib,CVCL_0480,30341
Irinotecan (hydrochloride),CVCL_0546,30046
Uridine,CVCL_0459,29819
Adagrasib,CVCL_1097,29429
DMSO_TF,CVCL_0099,29414
Almonertinib (mesylate),CVCL_0480,29253
Irinotecan (hydrochloride),CVCL_0459,29179
Naproxen,CVCL_0459,29132
DMSO_TF,CVCL_1098,29046
Gefitinib,CVCL_0459,28559
Adagrasib,CVCL_1717,28515
Pravastatin (sodium),CVCL_0480,28276
Perindopril (erbumine),CVCL_0459,28150
Methylthiouracil,CVCL_0546,28108
Regorafenib,CVCL_0459,27528
Fumaric acid,CVCL_0480,27484
Topotecan (hydrochloride),CVCL_0459,27368
Uridine,CVCL_0546,27180
Adagrasib,CVCL_0397,27036
Binimetinib,CVCL_0480,27036
Dapagliflozin,CVCL_0459,26668
Adagrasib,CVCL_1517,26595
Cytarabine,CVCL_0480,26505
Perindopril (erbumine),CVCL_0546,26271
Berbamine,CVCL_0546,26119
Adagrasib,CVCL_1731,26099
Adagrasib,CVCL_0332,26018
Clonidine (hydrochloride),CVCL_0546,25946
Flumatinib (mesylate),CVCL_0480,25789
Berbamine (dihydrochloride),CVCL_0480,25670
Allopurinol,CVCL_0459,25550
Adagrasib,CVCL_1635,25484
Chlorhexidine (diacetate),CVCL_0546,25349
Dapagliflozin,CVCL_0546,25174
Adagrasib,CVCL_1495,25151
Naproxen,CVCL_0480,25009
Ataluren,CVCL_0459,24933
Belumosudil,CVCL_0480,24852
Clopidogrel,CVCL_0459,24698
Irinotecan (hydrochloride),CVCL_0480,24665
Esmolol (hydrochloride),CVCL_0459,24582
Entecavir (monohydrate),CVCL_0459,24579
Omeprazole,CVCL_0459,24478
DMSO_TF,CVCL_1239,24306
Adagrasib,CVCL_1666,24186
Daidzin,CVCL_0480,24123
Adagrasib,CVCL_1547,24015
Fulvestrant,CVCL_0459,23836
